id_entreprise;libellé_entreprise
1017;Agricultural Research Institute
1018;Agricultural Sindicate of El Salto Mill
1019;Agricultural Society
1020;Agricultural Training Fund
1021;Agricultural workers Union
1022;Agriculturalists Association of Santiago Atitlán in Guatemala
1023;Agriculture bank
1024;Agriculture Dept
1025;Agriculture Development Bank
1026;Agriculture Engineering Office
1027;Agriculture High School
1028;Agriculture Inputs Company
1029;Agriculture Mahdi al-Dhamad.
1030;Agriculture Ministry
1031;Agro Action aid agency
1032;AgroAction
1033;Agroman Building
1034;AGS
1035;Agua Chica
1036;Aguan Unified Farmers Movement (MUCA)
1037;Aguas Blancas
